pmcid,pmid,saved_path,source,format,status,notes
PMC11303482,38733496.0,downloaded_papers/PMC11303482.xml,PMC,xml,ok,
PMC11275976,39071344.0,downloaded_papers/PMC11275976.xml,PMC,xml,ok,
,39109839.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC11303482,38733496.0,downloaded_papers/PMC11303482.xml,PMC,xml,ok,
PMC10873279,37883444.0,downloaded_papers/PMC10873279.xml,PMC,xml,ok,
PMC10854826,38334607.0,downloaded_papers/PMC10854826.xml,PMC,xml,ok,
PMC10854826,38334607.0,downloaded_papers/PMC10854826.xml,PMC,xml,ok,
PMC11275976,39071344.0,downloaded_papers/PMC11275976.xml,PMC,xml,ok,
PMC10855544,38338886.0,downloaded_papers/PMC10855544.xml,PMC,xml,ok,
PMC10854826,38334607.0,downloaded_papers/PMC10854826.xml,PMC,xml,ok,
PMC11303561,39107470.0,downloaded_papers/PMC11303561.xml,PMC,xml,ok,
,38296740.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC10425459,37580379.0,downloaded_papers/PMC10425459.xml,PMC,xml,ok,
PMC10156617,37153445.0,downloaded_papers/PMC10156617.xml,PMC,xml,ok,
PMC11275844,39071312.0,downloaded_papers/PMC11275844.xml,PMC,xml,ok,
PMC10359415,37474525.0,downloaded_papers/PMC10359415.xml,PMC,xml,ok,
PMC10524625,37121539.0,downloaded_papers/PMC10524625.xml,PMC,xml,ok,
,38296740.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC11148039,38830841.0,downloaded_papers/PMC11148039.xml,PMC,xml,ok,
PMC10584688,37369347.0,downloaded_papers/PMC10584688.xml,PMC,xml,ok,
PMC10415281,37563143.0,downloaded_papers/PMC10415281.xml,PMC,xml,ok,
PMC9934066,36626551.0,downloaded_papers/PMC9934066.xml,PMC,xml,ok,
PMC10230549,37146582.0,downloaded_papers/PMC10230549.xml,PMC,xml,ok,
PMC9934066,36626551.0,downloaded_papers/PMC9934066.xml,PMC,xml,ok,
PMC9934066,36626551.0,downloaded_papers/PMC9934066.xml,PMC,xml,ok,
PMC11877754,40033278.0,downloaded_papers/PMC11877754.xml,PMC,xml,ok,
PMC10309589,37278344.0,downloaded_papers/PMC10309589.xml,PMC,xml,ok,
PMC10309589,37278344.0,downloaded_papers/PMC10309589.xml,PMC,xml,ok,
PMC10250329,37291192.0,downloaded_papers/PMC10250329.xml,PMC,xml,ok,
PMC10309589,37278344.0,downloaded_papers/PMC10309589.xml,PMC,xml,ok,
PMC9926443,36788289.0,downloaded_papers/PMC9926443.xml,PMC,xml,ok,
PMC9934066,36626551.0,downloaded_papers/PMC9934066.xml,PMC,xml,ok,
,37054708.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC10250329,37291192.0,downloaded_papers/PMC10250329.xml,PMC,xml,ok,
PMC9875743,36695714.0,downloaded_papers/PMC9875743.xml,PMC,xml,ok,
PMC9875743,36695714.0,downloaded_papers/PMC9875743.xml,PMC,xml,ok,
PMC9457323,36037374.0,downloaded_papers/PMC9457323.xml,PMC,xml,ok,
PMC10023352,36750100.0,downloaded_papers/PMC10023352.xml,PMC,xml,ok,
PMC12358170,35940219.0,downloaded_papers/PMC12358170.xml,PMC,xml,ok,
PMC9438972,36055191.0,downloaded_papers/PMC9438972.xml,PMC,xml,ok,
PMC9677913,36411408.0,downloaded_papers/PMC9677913.xml,PMC,xml,ok,
